id,id_estudiante,id_carrera,inscripcion,graduacion,antiguedad
1,71779527,1,2017,2022,5
2,33865264,4,2019,2025,3
3,17331470,11,2020,2025,2
4,27532732,9,2021,0,2
5,30842249,2,2018,2024,4
6,57065298,8,2018,2025,4
7,71779527,9,2021,2022,2
8,22438724,1,2015,0,7
9,24549124,6,2022,2026,1
10,74843661,12,2022,2024,1
11,62626021,4,2017,2026,5
12,62626021,3,2016,2023,6
13,62626021,10,2020,0,2
14,62626021,13,2015,2024,7
15,97757202,9,2022,2025,1
16,84076286,1,2022,0,4
17,84076286,3,2022,0,1
18,38431533,15,2016,0,6
19,38431533,14,2020,0,3
20,71704970,9,2014,2022,8
21,72695248,12,2020,2024,3
22,91911951,5,2017,0,4
23,13820383,8,2020,2026,2
24,89370812,8,2022,2026,2
25,66647912,1,2020,2023,2
26,66647912,3,2016,2024,6
27,29588318,2,2017,2022,5
28,77560472,13,2018,2026,4
29,84969599,15,2015,2025,7
30,17503300,9,2015,2024,7
31,91911951,9,2021,2023,2
32,76787321,7,2022,0,4
33,77555326,10,2021,2023,2
34,77555326,14,2021,2022,2
35,91971812,1,2017,2025,5
36,77555326,6,2017,0,4
37,90662737,1,2014,2023,8
38,64815263,9,2018,2026,4
39,64815263,5,2022,0,4
40,11962781,6,2020,2022,2
41,11962781,13,2020,2026,2
42,36995626,13,2021,2024,1
43,36995626,3,2021,2022,2
44,99266178,9,2019,2024,3
45,57799873,14,2020,2025,3
46,67116086,6,2016,2026,6
47,12706636,8,2019,2024,3
48,88122566,4,2020,2023,2
49,88122566,8,2020,2026,2
